DATE	WGPT:HW1_1	WGPT:HW1_2	WGPT:HW1_3	WGPT:HW1_4	WGPT:HW1_5	WGPT:HW1_6	WGPT:HW1_7	WGPT:HW1_8	WGPT:HW2_10	WGPT:HW2_6	WGPT:HW2_7	WGPT:HW2_8	WGPT:HW2_9	WGPT:HW3_10	WGPT:HW3_11	WGPT:HW3_12	WGPT:HW3_13	WGPT:HW3_14	WGPT:HW3_15	WGPT:HW3_16	WGPT:HW3_17	WGPT:HW3_18	WGPT:HW3_19	WGPT:HW3_9	WWPT:HW1_1	WWPT:HW1_2	WWPT:HW1_3	WWPT:HW1_4	WWPT:HW1_5	WWPT:HW1_6	WWPT:HW1_7	WWPT:HW1_8	WWPT:HW2_10	WWPT:HW2_6	WWPT:HW2_7	WWPT:HW2_8	WWPT:HW2_9	WWPT:HW3_10	WWPT:HW3_11	WWPT:HW3_12	WWPT:HW3_13	WWPT:HW3_14	WWPT:HW3_15	WWPT:HW3_16	WWPT:HW3_17	WWPT:HW3_18	WWPT:HW3_19	WWPT:HW3_9	WBP9:HW1_1	WBP9:HW1_2	WBP9:HW1_3	WBP9:HW1_4	WBP9:HW1_5	WBP9:HW1_6	WBP9:HW1_7	WBP9:HW1_8	WBP9:HW2_10	WBP9:HW2_6	WBP9:HW2_7	WBP9:HW2_8	WBP9:HW2_9	WBP9:HW3_10	WBP9:HW3_11	WBP9:HW3_12	WBP9:HW3_13	WBP9:HW3_14	WBP9:HW3_15	WBP9:HW3_16	WBP9:HW3_17	WBP9:HW3_18	WBP9:HW3_19	WBP9:HW3_9	WTHP:HW1_1	WTHP:HW1_2	WTHP:HW1_3	WTHP:HW1_4	WTHP:HW1_5	WTHP:HW1_6	WTHP:HW1_7	WTHP:HW1_8	WTHP:HW2_10	WTHP:HW2_6	WTHP:HW2_7	WTHP:HW2_8	WTHP:HW2_9	WTHP:HW3_10	WTHP:HW3_11	WTHP:HW3_12	WTHP:HW3_13	WTHP:HW3_14	WTHP:HW3_15	WTHP:HW3_16	WTHP:HW3_17	WTHP:HW3_18	WTHP:HW3_19	WTHP:HW3_9
	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)
27 May 2025	1.1790394E+8	1.2213626E+8	1.3989774E+8	1.4264618E+8	1.3111826E+8	0	0	0	0	1.1385808E+8	1.1584639E+8	1.1851979E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.983772	86.122696	85.98365	86.872345	83.069618	0	0	0	0	83.763153	86.95961	80.330711	0	0	0	0	0	0	0	0	0	0	0	0	77.602585	78.983536	78.613815	79.628632	74.831276	0	0	0	0	75.992088	79.787506	72.673599	0	0	0	0	0	0	0	0	0	0	0	0
27 Jun 2025	1.4311475E+8	1.4821909E+8	1.6979834E+8	1.731951E+8	1.590744E+8	0	0	0	0	1.3803957E+8	1.4067003E+8	1.4335802E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.745293	85.78801	85.652245	86.563942	82.786186	0	0	0	0	83.447098	86.663177	79.893333	0	0	0	0	0	0	0	0	0	0	0	0	77.374672	78.667267	78.299042	79.335823	74.559334	0	0	0	0	75.692947	79.506157	72.263962	0	0	0	0	0	0	0	0	0	0	0	0
19 Jul 2025	1.6115542E+8	1.6686326E+8	1.9117075E+8	1.9503885E+8	1.7906381E+8	0	0	0	0	1.5532411E+8	1.5842315E+8	1.6107851E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.579163	85.559799	85.423126	86.348679	82.590065	0	0	0	0	83.238464	86.456177	79.624847	0	0	0	0	0	0	0	0	0	0	0	0	77.213776	78.450455	78.080406	79.130096	74.37027	0	0	0	0	75.494514	79.308052	72.013802	0	0	0	0	0	0	0	0	0	0	0	0
09 Aug 2025	1.7816491E+8	1.8442934E+8	2.1130608E+8	2.1562282E+8	1.9790058E+8	0	0	0	0	1.716103E+8	1.751545E+8	1.777593E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.427254	85.353157	85.213356	86.150269	82.41069	0	0	0	0	83.054214	86.265556	79.39769	0	0	0	0	0	0	0	0	0	0	0	0	77.067894	78.254738	77.881195	78.941429	74.19812	0	0	0	0	75.319382	79.126724	71.800484	0	0	0	0	0	0	0	0	0	0	0	0
02 Sep 2025	1.9772952E+8	2.0462158E+8	2.344497E+8	2.3928654E+8	2.1955634E+8	0	0	0	0	1.9033355E+8	1.9439142E+8	1.9692224E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.256905	85.125038	84.979301	85.927544	82.210289	0	0	0	0	82.854866	86.052109	79.164146	0	0	0	0	0	0	0	0	0	0	0	0	76.905014	78.039032	77.659462	78.730156	74.006241	0	0	0	0	75.129967	78.924301	71.580421	0	0	0	0	0	0	0	0	0	0	0	0
04 Oct 2025	2.2308742E+8	2.3077581E+8	2.6442293E+8	2.6993933E+8	2.4760939E+8	0	0	0	0	2.1458954E+8	2.1931342E+8	2.2173238E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.041885	84.842644	84.687157	85.647194	81.958145	0	0	0	0	82.613663	85.784912	78.896645	0	0	0	0	0	0	0	0	0	0	0	0	76.699966	77.772331	77.383018	78.464592	73.765144	0	0	0	0	74.900764	78.67131	71.327713	0	0	0	0	0	0	0	0	0	0	0	0
12 Nov 2025	2.5498202E+8	2.6364691E+8	3.0208672E+8	3.0846547E+8	2.8287005E+8	0	0	0	0	2.4508413E+8	2.5064267E+8	2.5290648E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.778351	84.504967	84.334778	85.306374	81.650841	0	0	0	0	82.331642	85.463234	78.600113	0	0	0	0	0	0	0	0	0	0	0	0	76.448792	77.453659	77.049789	78.141823	73.471542	0	0	0	0	74.632492	78.366745	71.046837	0	0	0	0	0	0	0	0	0	0	0	0
07 Dec 2025	2.7511062E+8	2.8437446E+8	3.2583011E+8	3.3275818E+8	3.0510496E+8	0	0	0	0	2.6432176E+8	2.7040269E+8	2.7256442E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.613564	84.297417	84.117744	85.095726	81.46067	0	0	0	0	82.160309	85.265884	78.425499	0	0	0	0	0	0	0	0	0	0	0	0	76.290054	77.256882	76.843971	77.941345	73.289551	0	0	0	0	74.468163	78.178413	70.879364	0	0	0	0	0	0	0	0	0	0	0	0
01 Jan 2026	2.9524698E+8	3.0510006E+8	3.4956723E+8	3.5704781E+8	3.2733776E+8	0	0	0	0	2.8356339E+8	2.9016384E+8	2.9222291E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.451508	84.094322	83.905273	84.888809	81.273399	0	0	0	0	81.995522	85.073807	78.26059	0	0	0	0	0	0	0	0	0	0	0	0	76.135414	77.065048	76.643044	77.745567	73.110779	0	0	0	0	74.310905	77.996246	70.720963	0	0	0	0	0	0	0	0	0	0	0	0
18 Feb 2026	3.3439101E+8	3.4537088E+8	3.9568189E+8	4.0424182E+8	3.7053642E+8	0	0	0	0	3.2096342E+8	3.285671E+8	3.30428E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.143799	83.713722	83.507095	84.498856	80.918312	0	0	0	0	81.693748	84.719223	77.967949	0	0	0	0	0	0	0	0	0	0	0	0	75.843834	76.706604	76.267258	77.377808	72.772377	0	0	0	0	74.024216	77.661835	70.440521	0	0	0	0	0	0	0	0	0	0	0	0
